country;life_expect_2015;life_expect_2016;life_expect_2017;Corruption perception_index_2015;Corruption perception_index_2016;Corruption perception_index_2017;Education_exp_2015;Education_exp_2016;Education_exp_2017;freedix_2015;freedix_2016;freedix_2017;gdp_growth_2015;gdp_growth_2016;gdp_growth_2017;gini_2015;gini_2016;gini_2017;health_spend;10per_richest_2015;10per_richest_2016;10per_richest_2017;Military_exp_2015;Military_exp_2016;Military_exp_2017
Sri Lanka;76.9;77.2;77.5;37;36;38;0.0744;0.144;0.114;4;3.5;3.5;5.78;5.78;5.78;39.6;39.7;39.8;66.4;0;32.9;0;0.0255;0.0213;0.0214
St. Lucia;75.5;75.5;75.5;;60;55;0.159;0.165;0.159;1;1;1;0.407;0.805;1.2;42.6;42.6;42.6;486;0;38.6;0;;;
St. Vincent and the Grenadines;72;72.2;72.3;;60;58;0.167;0.179;0.178;1;1;1;2.82;3.08;3.18;40;40;40;403;;;;;;
Sudan;69.6;69.8;70.3;12;14;16;;;;7;7;7;1.98;3.36;2.53;35.4;35.4;35.4;42.2;0;0;0;0.0266;0.0265;0.0351
Suriname;71.9;71.9;72;36;45;41;;;;2.5;2.5;2;3.05;3.51;3.74;61;61;61;250;0;0;0;;;
Sweden;82.2;82.4;82.5;89;88;84;0.213;0.217;0;1;1;1;1.76;1.84;1.72;28.8;28.9;29;3050;22.9;23.3;22.3;0.0107;0.0105;0.0102
Switzerland;83.5;83.8;84;86;86;85;0.246;0.248;0;1;1;1;1.61;1.4;1.41;32.4;32.4;32.3;3180;25.2;25.8;25.5;0.00665;0.00681;0.00681
Syria;67.3;67.4;69.8;18;13;14;0;0;0;7;7;7;0;0;0;35.2;35.2;35.2;80.1;0;0;0;0;0;0
Tajikistan;70.2;70.2;70.3;26;25;21;;;;6.5;6.5;6.5;3.57;3.58;3.58;33.7;33.9;34;34.2;26.4;0;0;0.0122;0;0
Tanzania;65.6;66.2;66.7;30;32;36;0;0;0;3.5;3.5;4;3.88;3.99;3.85;37.8;37.8;37.8;56.2;0;0;33.1;0.0113;0.0114;0.0118
Thailand;78.2;78;78.1;38;35;37;0;0;0;5.5;5.5;5.5;3.31;4.34;4.3;36.6;36.2;36;247;28.4;28.9;28.4;0.0143;0.0162;0.0158
Timor-Leste;70.7;70.7;70.8;28;35;38;0;0;0;3;3;2.5;5.7;6.72;7.14;28.6;28.7;28.7;46.9;0;0;0;0.0119;0.0097;0.00855
Togo;62.8;63.5;64.4;32;32;32;0.161;0.162;0;4;4;4;3.28;3.39;3.08;43.5;43.2;43.1;34;31.6;0;0;0.0168;0.0185;0.0186
Trinidad and Tobago;74.4;74.3;74.2;39;35;41;0;0;0;2;2;2;1.68;1.2;1.06;41.3;41.3;41.3;868;0;0;0;0.00805;0.00993;0.00906
Tunisia;77.9;78.1;78.3;38;41;42;0;0;0;2;2;2.5;3.16;3.16;3.16;35.8;35.8;35.8;262;25.6;0;0;0.0227;0.0236;0.0214
Turkey;78.3;78.6;78.9;42;41;40;0.144;0.13;0;3.5;4.5;5.5;1.97;2.4;2.45;41.6;41.9;42.1;774;33.5;32.1;31.9;0.0182;0.0206;0.0207
Turkmenistan;69.8;70;70.1;18;22;19;;;;7;7;7;10.7;7.83;6.13;46.4;46.4;46.4;118;0;0;0;0;0;0
Uganda;64.5;65.2;65.7;25;25;26;0;0;0;5.5;5.5;5;3.35;3.69;3.75;41.9;42.2;42.5;27;0;34.2;0;0.0121;0.0126;0.0129
Ukraine;69.2;69.6;70.5;27;29;30;0;0.263;0.303;3;3;3;0;0;0;24.8;24.9;25.1;294;21.6;21.2;21.7;0.0325;0.0315;0.0288
United Arab Emirates;73.1;73.2;73.3;70;66;71;0;0;0;6;6;6.5;1.15;1.02;1.06;40;40;40;1150;0;0;0;0;0;0
United Kingdom;81;80.9;81;81;81;82;0.25;0.242;0;1;1;1;1.79;1.65;1.57;33.4;33.4;33.2;2920;25.4;26.8;0;0.0186;0.0181;0.0177
United States;78.8;78.6;78.6;76;74;75;0.198;0.199;0;1;1;1.5;2.15;2.23;2.1;41.3;41.4;41.5;4440;0;30.4;0;0.0348;0.0342;0.0331
Uruguay;77;77;77;74;71;70;0;0.124;0.126;1;1;1;2.64;2.93;3.27;40.1;39.9;39.8;797;29.8;29.6;29.6;0.0182;0.0187;0.0196
Uzbekistan;69.9;70.1;70.3;19;21;22;;;;7;7;7;5.24;4.74;4.25;33.5;33.5;33.5;87.4;0;0;0;0;0;0
Vanuatu;64.4;64.6;64.7;;;43;0.135;0;0;2;2;2;2.17;2.17;1.97;37.6;37.6;37.6;217;0;0;0;;;
Venezuela;75;75.3;75.3;17;17;18;0.179;0;0;5;5.5;5.5;-2.52;-0.55;-0.554;46.9;46.9;46.9;206;0;0;0;0.00941;0.00454;0.00488
Vietnam;74.3;74.4;74.5;31;33;35;0;0;0;6;6;6;4.61;4.7;4.8;35.1;35.1;35.2;81.5;0;27.1;0;0;0;0
Yemen;68.6;68.1;68.1;18;14;16;0;0;0;6.5;6.5;6.5;1.39;0.857;0.951;36.7;36.7;36.7;29.5;0;0;0;0;0;0
Zambia;62;62.8;63.2;38;38;37;0.143;0.129;0.129;3.5;4;4;3.65;3.37;3.21;57;57.1;57.1;54.4;44.4;0;0;0.0175;0.0143;0.0131
Zimbabwe;59.6;60.5;61.4;21;22;22;0;0;0;5;5;5.5;3.33;3.67;2.98;43.2;43.2;43.2;;0;0;34.8;0.0189;0.0174;0.0154
